Feature	saturation
ADT_C0895	0.17087516154045
ADT_C0353	0.152035975564078
ADT_C0245	0.151961122855482
ADT_C0155	0.164492604384941
ADT_C0053	0.152279474179619
ADT_C0802	0.156136679495733
ADT_C0139	0.151986373512826
ADT_C0863	0.151712397303698
ADT_C0148	0.155189031306382
ADT_C0123	0.353307624123426
ADT_C0063	0.153363347273347
ADT_C0027	0.2544257086243
ADT_C0174	0.487769595599719
ADT_C0583	0.151790070007867
ADT_C0168	0.156555902016706
ADT_C0395	0.510954110526225
ADT_C0908	0.215258606391901
ADT_C0032	0.155673501238504
ADT_C0028	0.180599326530583
ADT_C0356	0.300172681876278
ADT_C0070	0.182434017575656
ADT_C1048	0.151530357704667
ADT_C0177	0.153216043178028
ADT_C0056	0.219614596632917
ADT_C0828	0.197257025136494
ADT_C0375	0.149241185838786
ADT_C0153	0.177373084530326
ADT_C0246	0.152869848900812
ADT_C0208	0.159454319774851
ADT_C0368	0.158283669703428
ADT_C0171	0.154066249244664
ADT_C0087	0.577178907981298
ADT_C0594	0.158133083932465
ADT_C0394	0.14780199818347
ADT_C0391	0.200590202373018
ADT_C0363	0.158632670770351
ADT_C0920	0.155049082626757
ADT_C0024	0.14985020050532
ADT_C0159	0.147445300696282
ADT_C0206	0.150323374381589
ADT_C0831	0.261477050632921
ADT_C0590	0.150032924888861
ADT_C0392	0.14934193269661
ADT_C0127	0.51373634130647
ADT_C0600	0.15385178083125
ADT_C0163	0.190700993132337
ADT_C0167	0.153330381950754
ADT_C0362	0.224003661728491
ADT_C0089	0.15465026866818
ADT_C0180	0.153316858587897
ADT_C0179	0.153029348366772
ADT_C0371	0.1537999921073
ADT_C0072	0.153434432120031
ADT_C0856	0.151417541533912
ADT_C0169	0.153056157368751
ADT_C0140	0.153174774102921
ADT_C0366	0.295170439884561
ADT_C0022	0.152374110839519
ADT_C0592	0.170099605408716
ADT_C0437	0.149872393536456
ADT_C0801	0.154727836292954
ADT_C0207	0.150768994076771
ADT_C0576	0.152833310798195
ADT_C0400	0.159081601621896
ADT_C0407	0.154307021871726
ADT_C0026	0.152023094703452
ADT_C0358	0.15139571992995
ADT_C0898	0.15266087906344
ADT_C0584	0.153792027035822
ADT_C0390	0.151008718770771
ADT_C1047	0.150345170986182
ADT_C0136	0.150811932456358
ADT_C0088	0.152331386796238
ADT_C0023	0.150752283374985
ADT_C0060	0.149885550203563
ADT_C0402	0.15142190545768
ADT_C0175	0.189912899502116
ADT_C0124	0.151121297552177
ADT_C1055	0.151679209410336
ADT_C0359	0.195437729258849
ADT_C0355	0.154064639037048
ADT_C0054	0.152824311450316
ADT_C1057	0.153026342493991
ADT_C0135	0.152900491949548
ADT_C0145	0.166609713189521
ADT_C0138	0.156614812128051
ADT_C0014	0.153345477241568
ADT_C0147	0.151598403619018
ADT_C0369	0.149257576953925
ADT_C0830	0.150983622774611
ADT_C0399	0.175662156162554
ADT_C0160	0.295218833533618
ADT_C0591	0.148992140503521
ADT_C0218	0.150627224329545
ADT_C0187	0.152837026789612
ADT_C0370	0.155694658358179
ADT_C0009	0.153317833711467
ADT_C0146	0.171487022879536
ADT_C0420	0.152243293032901
ADT_C0090	0.151432552322678
ADT_C0217	0.150135190124135
ADT_C0853	0.148652419859162
ADT_C1056	0.150250709462399
ADT_C0901	0.269422550590743
ADT_C1052	0.15179456190385
ADT_C0845	0.149861012737923
ADT_C0385	0.151633067019911
ADT_C0867	0.150881494881474
ADT_C0597	0.149936139845141
ADT_C0894	0.152726023709397
ADT_C0071	0.306664963762232
ADT_C0156	0.15201713578529
ADT_C0064	0.152874749704903
ADT_C0247	0.150617181943998
ADT_C0870	0.157592989256086
ADT_C0031	0.155377408132527
ADT_C0389	0.150801314965321
ADT_C0374	0.151161615561131
ADT_C0170	0.175628553546327
ADT_C0066	0.154013495077615
ADT_C0149	0.151861466379638
ADT_C0021	0.148566489837277
ADT_C0061	0.149452719133143
ADT_C0189	0.153179590436889
ADT_C0944	0.150696548126666
ADT_C1046	0.171257654000426
ADT_C0985	0.15278707826758
ADT_C0142	0.154619057352444
ADT_C0005	0.151723769811565
ADT_C0897	0.149292703319549
ADT_C0397	0.151293833021617
ADT_C0033	0.149925686912609
ADT_C0062	0.154338343724937
ADT_C0091	0.149630202732828
ADT_C0165	0.152290361922719
ADT_C0007	0.15149522925349
ADT_C0360	0.170929621345773
ADT_C0166	0.153809312811958
ADT_C0164	0.155071427565123
ADT_C0151	0.239069377583451
ADT_C0152	0.15471850158303
ADT_C0085	0.154100880303175
ADT_C0186	0.15177141337219
ADT_C0396	0.151589093355203
ADT_C0205	0.150442659766424
ADT_C0141	0.149232656013835
ADT_C0224	0.152508329332077
ADT_C0406	0.162931674157974
ADT_C0144	0.153849698475347
ADT_C0214	0.152456331020719
ADT_C0386	0.147659102613472
ADT_C0899	0.145393141669553
ADT_C0143	0.152766633865718
ADT_C0581	0.148821701901947
ADT_C0101	0.153678491842743
ADT_C0052	0.150287338587594
ADT_C0352	0.152869801229345
ADT_C1051	0.151284982168765
ADT_C0176	0.148962792229174
ADT_C0083	0.153062067929065
ADT_C0387	0.153403841785092
ADT_C0102	0.156680157676174
ADT_C0829	0.304666030606036
ADT_C0215	0.15412310616649
ADT_C0095	0.15095156062474
ADT_C0050	0.152844418105847
ADT_C0047	0.152855366830276
ADT_C0008	0.15584000798463
ADT_C0902	0.150041220115416
ADT_C0373	0.15447103969963
ADT_C0046	0.154933957235089
ADT_C0100	0.150324353178541
ADT_C0081	0.238858939151894
ADT_C0196	0.150116697654179
ADT_C0582	0.151273651787024
ADT_C0034	0.150859929219979
ADT_C0162	0.149148066418261
ADT_C0599	0.152644175449901
ADT_C0058	0.151614384085692
ADT_C0188	0.151931330472103
ADT_C0384	0.150227219173932
ADT_C0896	0.152351063829787
ADT_C0185	0.151396936735455
ADT_C0577	0.151375495910688
ADT_C0134	0.151524249422633
ADT_C0367	0.151149398669199
HT_C0254	0.149509803921569
ADT_C0181	0.151032888197416
ADT_C0154	0.152630905679686
ADT_C0073	0.152738269491011
ADT_C0006	0.151955202108136
ADT_C0129	0.158026546456299
ADT_C0393	0.160483049614433
ADT_C0158	0.154963961869333
ADT_C0057	0.143915756630265
HT_C0258	0.209302325581395
ADT_C1049	0.116465863453815
ADT_C0900	0.171824973319104
HT_C0256	0.136111111111111
ADT_C0092	0.143939393939394
HT_C0251	0.151915455746367
HT_C0252	0.147874306839187
HT_C0259	0.138686131386861
HT_C0260	0.208333333333333
HT_C0257	0.103448275862069
